0,0,0,0,0,0,0,0,0,0
0,1.3709,2.5647,3.4379,3.8969,3.8969,3.4379,2.5647,1.3709,0
0,2.9191,5.4498,7.2901,8.2527,8.2527,7.2901,5.4498,2.9191,0
0,4.8555,9.0253,12.0199,13.5712,13.5712,12.0199,9.0253,4.8555,0
0,7.4777,13.7761,18.193,20.4411,20.4411,18.193,13.7761,7.4777,0
0,11.2792,20.4082,26.5351,29.5589,29.5589,26.5351,20.4082,11.2792,0
0,17.2311,30.0424,37.9801,41.7007,41.7007,37.9801,30.0424,17.2311,0
0,27.6026,44.5502,53.6422,57.563,57.563,53.6422,44.5502,27.6026,0
0,48.6291,66.9137,74.4755,77.3462,77.3462,74.4755,66.9137,48.6291,0
0,100,100,100,100,100,100,100,100,0
